,baseMean,log2FoldChange,lfcSE,pvalue,padj
YBX2,2.6017418214605015,1.649039153493118,0.6010458400459572,5.4869322613781094e-05,0.0046781948522365965
ODAM,3.213219514173168,-2.46347037262034,0.518656054396114,4.4769021533051206e-08,1.873010924138584e-05
ALAS2,3.0482753792289734,-1.8649036425963783,0.44488505909568393,1.983097815242164e-06,0.0003497640166294758
C20orf202,3.574244301202198,-1.0523278542390488,0.4613782258529584,0.00020632167999236114,0.012539618321157355
E2F8,4.593008459166538,1.1682091082022192,0.3060972340693352,1.5143301936695854e-05,0.0017133836593783548
TMC2,2.212190019440323,-1.3065576014725686,0.8249434262734582,0.0003823471755375542,0.020532613993792838
ZNF695,2.1021982690692163,2.0412185991970473,0.7524304964404366,2.4711697372166332e-05,0.0025403624898586987
LGI3,7.399079855463423,-1.2583226891574832,0.22067958289121373,5.1524508619063726e-09,3.862191291903986e-06
CAV3,2.0797083223373685,-1.9974283471784877,0.7115919935409313,2.455993031583313e-05,0.00253927095621746
CYP24A1,4.927535553713134,1.9952943275284807,0.3280848760071008,1.186116938744538e-10,2.66728046600178e-07
ADCY8,3.1283461123490506,-2.917997103869585,0.5458824780955157,6.191166085649138e-10,7.955648420059143e-07
RBP2,2.6314205556579044,-2.63050388969512,0.5624612440303641,3.790047827038435e-08,1.704574010210536e-05
KCNA4,3.0710739117321144,-1.7250762691703956,0.4590266939473684,8.397475279146119e-06,0.001065147006710129
KRT14,1.8805316147405964,1.1306726365079565,1.0645035421131883,0.0006309029402858109,0.027955526836802313
SERPINB5,4.123411221583845,1.6663264053768232,0.3596289794474258,5.982516168951534e-07,0.00014743214504032615
PTPRQ,3.9887566932691856,-1.8323053976305521,0.3521411760023728,2.7313063338531112e-08,1.499933376987564e-05
PTPRN,2.4004653826034077,1.007694117956774,0.7769027748626044,0.0008832013131445876,0.03484384127954195
TCN1,3.073044363899498,1.4817202365577093,0.6077755524223677,0.00010764168208495085,0.007771949282317082
LOC84740,5.7883705655601725,1.4802837321867954,0.2602110724098202,3.893831126396416e-09,3.3357153316129295e-06
SLCO1A2,4.152593668104586,-2.1335208132530914,0.38680062956669836,2.2972474257390798e-09,2.295971177169225e-06
KRT16,3.214450856709979,2.882573388317976,0.5294780117057325,4.012975379901542e-10,6.563038825857158e-07
CMTM5,1.605280155047727,-1.0284872457516712,1.0419844097494253,0.0008415300153861243,0.033911103088908136
COL11A1,4.951715600188992,1.943757874479131,0.33009030632371417,4.38360433420042e-10,6.571753497688797e-07
FIGF,7.1200575829568935,-1.054050479858086,0.22577450220753342,1.281679398612096e-06,0.0002545490804906597
ONECUT2,2.48615828446274,1.466350333219474,0.6772764835694217,0.00015480607018148913,0.010201323086318643
C13orf36,4.433311502190753,-2.4334282835056067,0.3856059454160613,8.331628804019844e-12,2.4981000364052836e-08
CPB2,6.212052927347594,-1.4398019313874832,0.2583763340535116,8.159510275786583e-09,5.596782185958405e-06
